ordem_agenda,semana_sugerida,municipio,prioridade_sinergia_davi_gabi,status_agenda_conjunta,score_sinergia_davi_gabi,principal_lideranca,partido_principal_lideranca,prefeito_2024,partido_prefeito_2024,meta_votos_referencia_gabi,potencial_transferencia_10pct,acao_recomendada,formato_agenda_recomendada,justificativa_sinergia,responsavel_preparacao,contato_local,data_sugerida,status_execucao,observacao_politica
11,Semana 2,Atalaia,Monitoramento,Sem prioridade imediata,12.32,RUDINHO,MDB,CECILIA LIMA HERRMANN,MDB,753,1890.0,Monitorar,Atalaia: monitoramento político; com validação da liderança RUDINHO; e leitura do grupo do prefeito CECILIA LIMA HERRMANN.,"Atalaia deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 12.32.",,,,A planejar,
12,Semana 2,Santana do Ipanema,Monitoramento,Sem prioridade imediata,12.12,MIGUEL OLIVEIRA,MDB,JOAO EDUARDO BULHOES PORTELA DE MELO,MDB,750,1512.0,Monitorar,Santana do Ipanema: monitoramento político; com validação da liderança MIGUEL OLIVEIRA; e leitura do grupo do prefeito JOAO EDUARDO BULHOES PORTELA DE MELO.,"Santana do Ipanema deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 12.12.",,,,A planejar,
13,Semana 2,Pilar,Monitoramento,Sem prioridade imediata,11.59,ALEX CAVALCANTE,MDB,MARIA DE FATIMA RESENDE ROCHA OITICICA,MDB,650,1499.0,Monitorar,Pilar: monitoramento político; com validação da liderança ALEX CAVALCANTE; e leitura do grupo do prefeito MARIA DE FATIMA RESENDE ROCHA OITICICA.,"Pilar deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 11.59.",,,,A planejar,
14,Semana 2,Teotônio Vilela,Monitoramento,Sem prioridade imediata,11.55,SERGIO CELESTINO,PP,PEDRO HENRIQUE DE JESUS PEREIRA,PP,674,1192.0,Monitorar,Teotônio Vilela: monitoramento político; com validação da liderança SERGIO CELESTINO; e leitura do grupo do prefeito PEDRO HENRIQUE DE JESUS PEREIRA.,"Teotônio Vilela deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 11.55.",,,,A planejar,
15,Semana 2,Girau do Ponciano,Monitoramento,Sem prioridade imediata,11.44,FLAVINHA BARROS,PP,GILBERTO BEZERRA BARROS,PP,632,1390.0,Monitorar,Girau do Ponciano: monitoramento político; com validação da liderança FLAVINHA BARROS; e leitura do grupo do prefeito GILBERTO BEZERRA BARROS.,"Girau do Ponciano deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 11.44.",,,,A planejar,
16,Semana 2,São Sebastião,Monitoramento,Sem prioridade imediata,11.22,ANA PACHECO,PP,CHARLES NUNES REGUEIRA,PP,597,1315.0,Monitorar,São Sebastião: monitoramento político; com validação da liderança ANA PACHECO; e leitura do grupo do prefeito CHARLES NUNES REGUEIRA.,"São Sebastião deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 11.22.",,,,A planejar,
17,Semana 3,Maragogi,Monitoramento,Sem prioridade imediata,10.88,JUNIOR DO JOZEMIR,PODE,DANIEL MENDES DE VASCONCELOS FERREIRA,PP,546,1161.0,Monitorar,Maragogi: monitoramento político; com validação da liderança JUNIOR DO JOZEMIR; e leitura do grupo do prefeito DANIEL MENDES DE VASCONCELOS FERREIRA.,"Maragogi deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 10.88.",,,,A planejar,
18,Semana 3,Craíbas,Monitoramento,Sem prioridade imediata,10.85,CARLINHOS FOLHA,PP,TEÓFILO JOSÉ BARROSO PEREIRA,PP,506,1482.0,Monitorar,Craíbas: monitoramento político; com validação da liderança CARLINHOS FOLHA; e leitura do grupo do prefeito TEÓFILO JOSÉ BARROSO PEREIRA.,"Craíbas deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 10.85.",,,,A planejar,
19,Semana 3,Campo Alegre,Monitoramento,Sem prioridade imediata,10.81,JEANE NASCIMENTO,PP,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,PP,557,941.0,Monitorar,Campo Alegre: monitoramento político; com validação da liderança JEANE NASCIMENTO; e leitura do grupo do prefeito PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE.,"Campo Alegre deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 10.81.",,,,A planejar,
20,Semana 3,São Luís do Quitunde,Monitoramento,Sem prioridade imediata,10.74,CABEÇA,MDB,MARCIA RAFAELA BARROS DE VASCONCELOS,MDB,523,1126.0,Monitorar,São Luís do Quitunde: monitoramento político; com validação da liderança CABEÇA; e leitura do grupo do prefeito MARCIA RAFAELA BARROS DE VASCONCELOS.,"São Luís do Quitunde deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 10.74.",,,,A planejar,
21,Semana 3,Porto Calvo,Monitoramento,Sem prioridade imediata,8.1,MARCIO DO ANDRADE,MDB,ERONITA SPOSITO LEAO E LIMA,MDB,482,1261.0,Monitorar,Porto Calvo: monitoramento político; com validação da liderança MARCIO DO ANDRADE; e leitura do grupo do prefeito ERONITA SPOSITO LEAO E LIMA.,"Porto Calvo deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 8.10.",,,,A planejar,
22,Semana 3,São José da Tapera,Monitoramento,Sem prioridade imediata,8.07,EVANDRO GORDINHO DO POVO,MDB,JARBAS PEREIRA RICARDO,MDB,501,1000.0,Monitorar,São José da Tapera: monitoramento político; com validação da liderança EVANDRO GORDINHO DO POVO; e leitura do grupo do prefeito JARBAS PEREIRA RICARDO.,"São José da Tapera deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 8.07.",,,,A planejar,
23,Semana 3,Murici,Monitoramento,Sem prioridade imediata,7.87,MORAIS,MDB,REMI VASCONCELOS CALHEIROS FILHO,MDB,453,1110.0,Monitorar,Murici: monitoramento político; com validação da liderança MORAIS; e leitura do grupo do prefeito REMI VASCONCELOS CALHEIROS FILHO.,"Murici deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.87.",,,,A planejar,
24,Semana 3,Viçosa,Monitoramento,Sem prioridade imediata,7.85,DAVI DO TÊDA,REPUBLICANOS,JOÃO VICTOR CALHEIROS AMORIM SANTOS,MDB,451,1089.0,Monitorar,Viçosa: monitoramento político; com validação da liderança DAVI DO TÊDA; e leitura do grupo do prefeito JOÃO VICTOR CALHEIROS AMORIM SANTOS.,"Viçosa deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.85.",,,,A planejar,
25,Semana 4,Feira Grande,Monitoramento,Sem prioridade imediata,7.81,QUEL,PSB,DÁRIO ROBERTO SILVA LIRA,MDB,431,1199.0,Monitorar,Feira Grande: monitoramento político; com validação da liderança QUEL; e leitura do grupo do prefeito DÁRIO ROBERTO SILVA LIRA.,"Feira Grande deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.81.",,,,A planejar,
26,Semana 4,Limoeiro de Anadia,Monitoramento,Sem prioridade imediata,7.8,TOINHO,PP,JAMES MARLAN FERREIRA BARBOSA,PP,442,1067.0,Monitorar,Limoeiro de Anadia: monitoramento político; com validação da liderança TOINHO; e leitura do grupo do prefeito JAMES MARLAN FERREIRA BARBOSA.,"Limoeiro de Anadia deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.80.",,,,A planejar,
27,Semana 4,Igaci,Monitoramento,Sem prioridade imediata,7.7,DERY FERREIRA,MDB,JOSE PETRUCIO OLIVEIRA BARBOSA,MDB,437,940.0,Monitorar,Igaci: monitoramento político; com validação da liderança DERY FERREIRA; e leitura do grupo do prefeito JOSE PETRUCIO OLIVEIRA BARBOSA.,"Igaci deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.70.",,,,A planejar,
28,Semana 4,Traipu,Monitoramento,Sem prioridade imediata,7.66,JUNIOR DA CAPIVARA,PSB,MANUEL LUCAS KUMMER FREITAS DOS SANTOS,MDB,418,1041.0,Monitorar,Traipu: monitoramento político; com validação da liderança JUNIOR DA CAPIVARA; e leitura do grupo do prefeito MANUEL LUCAS KUMMER FREITAS DOS SANTOS.,"Traipu deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.66.",,,,A planejar,
29,Semana 4,Piranhas,Monitoramento,Sem prioridade imediata,7.65,LAURA DE ZÉ VICENTE,MDB,TIAGO TORRES FREITAS,MDB,424,972.0,Monitorar,Piranhas: monitoramento político; com validação da liderança LAURA DE ZÉ VICENTE; e leitura do grupo do prefeito TIAGO TORRES FREITAS.,"Piranhas deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.65.",,,,A planejar,
30,Semana 4,Junqueiro,Monitoramento,Sem prioridade imediata,7.63,HELINHO SILVA,MDB,CICERO LEANDRO PEREIRA DA SILVA,MDB,426,916.0,Monitorar,Junqueiro: monitoramento político; com validação da liderança HELINHO SILVA; e leitura do grupo do prefeito CICERO LEANDRO PEREIRA DA SILVA.,"Junqueiro deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 7.63.",,,,A planejar,
